Neh‚zs‚g;K‚rd‚s;A;B;C;D;V lasz;Kateg¢ria
6;Ki nyerte meg az els‹ Magyar Nagyd¡jat a Forma 1-ben?;Alain Prost;Nigel Mansell;Nelson Piquet;Ayrton Senna;C;SPORT
1;Milyen m‚rt‚kegys‚gben m‚rik az arany finoms g t?;grammban;kal¢ri ban;l¢er‹ben;kar tban;D;TUDOMµNY
2;Mit ad a k rtyaj t‚kosoknak a kibic?;£j leoszt st;j¢ lapokat;k‚retlen tan csokat;zsetonokat;C;µLTALµNOS
3;Melyik foly¢ vezeti le a Balaton v¡zfelesleg‚t?;Si¢;R ba;Zala;Marcal;A;F™LDRAJZ
4;Mi Kanada f‹v rosa?;Toronto;Ottawa;Montreal;Qu‚bec;B;ORSZµGOK
5;Mi a neve a finn n‚pi eposz, a Kalevala f‹szerepl‹j‚nek?;Mika Waltari;Mauno Koivisto;Vejnem”jnen;Paavo Nurmi;C;IRODALOM
6;H ny bajnoks gon kell nyerni teniszben, hogy valaki Grand Slam gy‹ztes legyen?;hat;”t;h rom;n‚gy;D;SPORT
7;Kik voltak az iszl m uralkod¢k test‹rei?;az eunuchok;a mamelukok;az effendik;a k dik;B;T™RTNELEM
8;Mi volt Svejknek, a der‚k katon nak a foglalkoz sa?;kocsm ros;t bori lelk‚sz;kutyakeresked‹;post s;C;IRODALOM
9;Az al bbiak k”zl melyik nem nemesg z?;radon;br¢m;argon;h‚lium;B;TUDOMµNY
10;Hol rendezt‚k 1930-ban az els‹ labdar£g¢ vil gbajnoks got?;Olaszorsz gban;Franciaorsz gban;Uruguayban;Braz¡li ban;C;SPORT
11;Az al bbiak k”zl melyik nyelv tartozik a neolatin nyelvek k”z‚?;holland;breton;cseh;katal n;D;NYELV
12;Melyik v ros psp”ke volt Szent Mikl¢s, akit a Mikul ssal azonos¡tunk?;Hippo;Biz nc ;Antiokheia;Myra;D;VALLµS
1;Hogy h¡vj k a H romkir lyokat?;G sp r, Menyh‚rt, Boldizs r;Szerv c, Pongr c, Bonif c;S ndor, J¢zsef, Benedek;M rk, M t‚, Luk cs;A;VALLµS
2;Mi akad lyozza meg a p lyaudvarokon a vas£ti kocsik lejut s t a v g nyr¢l?;v g nybika;vagonr;v g nybak;mozdonykos;C;µLTALµNOS
3;"Eg‚sz¡tse ki a reg‚ny c¡m‚t! ""Zorb sz, a ...""";g”r”g;t”r”k;t ncos;hal sz;A;IRODALOM
4;Milyen b£torfajta a subl¢t?;asztal;szekr‚ny;polc; gy;B;µLTALµNOS
5;Melyik a legnagyobb testû macskafaj?;oroszl n;szib‚riai tigris;p rduc;hi£z;B;BIOLàGIA
6;Melyik a F”ld legm‚lyebb tava?;Malawi (Nyasza)-t¢;Bajk l-t¢;Tanganyika-t¢;Nagy-Rabszolga-t¢;B;F™LDRAJZ
7;Hol rendezt‚k meg az Eur¢pai Biztons gi ‚s Egyttmûk”d‚si rtekezletet 1975-ben?;Washington;P rizs;Genf;Helsinki;D;T™RTNELEM
8;Mi az eredeti neve a Beatles legend s dobos nak, Ringo Starrnak?;Richard Wayne Penniman;Richard Starkey;Harry Rodger Webb;Lionel Richie;B;ZENE
9;Kinek a reg‚ny‚b‹l k‚sz¡tette F bri Zolt n Az ”t”dik pecs‚t c¡mû filmet?;Berkesi Andr s;Illy‚s Gyula;S nta Ferenc;F‚ja G‚za;C;IRODALOM
10;Mib‹l k‚szlt a florentinkalap?;szalm b¢l;nemzett pamutb¢l;kartonb¢l;poszt¢b¢l;A;µLTALµNOS
11;Ki nem adott el‹ James Bond-film f‹c¡mdalt az al bbi h¡res zen‚szek k”zl?;Paul McCartney;Tom Jones;Louis Amstrong;David Bowie;D;ZENE
1;Mit haszn ltak r‚gen az aut¢sok az aut¢ motorj nak beind¡t s hoz?;kurblit;verklit;vurslit;veknit;A;TECHNIKA
2;Melyik r gcs l¢r¢l kapta nev‚t a sz m¡t¢g‚p egyik tartoz‚ka?;h”rcs”g;eg‚r;pocok;rge;B;µLTALµNOS
3;"Mi cseng fel ""‚j-m‚lyb‹l"" We”res S ndor vers‚ben?";n‹i kacag s;altat¢dal;sz ncseng‹;az ¢szeres hangja;C;IRODALOM
4;Kivel ¡rta k”z”sen Marx a Kommunista Ki ltv nyt?;Leninnel;Engelsszel;Frankel Le¢val;Rosa Luxemburggal;B;T™RTNELEM
5;Ki nem volt Erd‚ly fejedelme?;II. R k¢czi Gy”rgy;Bethlen G bor;Botty n J nos;B thory Zsigmond;C;T™RTNELEM
6;Ki tagadta meg h romszor J‚zust?;Tam s;J£d s;P l;P‚ter;D;VALLµS
7;A ruha melyik r‚sze a slepp?;az usz lya;a nyakfodra;a v llp ntja;a d¡szes gombja;A;µLTALµNOS
8;Hol l that¢ Magyarorsz gon barokk k‹h¡d?;Egerben;Kalocs n;Szentendr‚n;V cott;D;MAGYARORSZµG
9;Melyik v rosban alap¡tott k az ENSZ-t?;San Francisc¢ban;Genfben;P rizsban;New Yorkban;A;ORSZµGOK
1;Mit mondunk a b‚ketûr‹ emberre?;tekn‹sp nc‚l£;galamblelkû;b r nysz¡vû;nyusziked‚lyû;B;µLTALµNOS
2;Az al bbiak k”zl melyik egy k rtyaj t‚k neve?;p”rk”l‚s;h moz s;zs¡roz s;dinsztel‚s;C;JµTK
3;"Milyen "" k c"" szerepel a Sz‚p Ern‹-mû c¡m‚ben?";sz£r¢s;lila;vir gz¢;feh‚r;B;IRODALOM
4;Mit alap¡tott P zm ny P‚ter Nagyszombatban?;csillagvizsg l¢t;szerzetesrendet;£js got;egyetemet;D;T™RTNELEM
5;"Ki ”r”k¡tette meg Lady Diana eml‚k‚t ""Gyerty k a sz‚lben"" c¡mû dal val?";Mick Jagger;Elton John;Rod Stewart;Paul McCartney;B;ZENE
6;Milyen menetel‚snek nevezik a k¡nai kommunista hadsereg 1934-1935-”s hadmûvelet‚t?;v”r”s;v‚res;hossz£;er‹ltetett;C;T™RTNELEM
7;"Kinek a nev‚hez fûz‹dik a mond s? ""J”ttem, l ttam, gy‹ztem.""";Julius Caesar;Kolumbusz;Nagy S ndor;Nap¢leon;A;T™RTNELEM
8;Kir‹l ¡rta Dallos S ndor az Aranyecset c¡mû ‚letrajzi reg‚nyt?;Munk csy Mih lyr¢l;Cs¢k Istv nr¢l;Rippl-R¢nai J¢zsefr‹l;Szinyei Merse P lr¢l;A;IRODALOM
9;H ny k‚pvisel‹i hely van a magyar orsz ggyûl‚sben?;357;364;386;405;C;µLTALµNOS
1;"Hogyan folytat¢dik a mond s? ""Kis p‚nz, ...""";kis orsz g;kis foci;nagy bunda;nagy zak¢;B;µLTALµNOS
2;A n‚pdal szerint mivel van kirakva a sz nt¢i h¡res utca?;g zcs”vekkel;cimbalommal;csillagokkal;kab tgombbal;B;IRODALOM
3;"Milyen anyagb¢l k‚szl a ""r¢mai t l"" nevû st‹ed‚ny?";ac‚lb¢l;porcel nb¢l;h‹ ll¢ vegb‹l;agyagb¢l;D;TECHNIKA
4;Mi a jegesmedv‚k f‹ t pl l‚ka?;plankton;f¢ka;alga;pingvin;B;BIOLàGIA
5;Az al bbi n”v‚nyek k”zl melyik a m k rokona?;pipacs;tulip n;musk tli;liliom;A;BIOLàGIA
6;Melyik sportol¢nk nyerte a legt”bb egy‚ni olimpiai bajnoks got?;Gerevich Alad r;Keleti µgnes;Egerszegi Krisztina;Balcz¢ Andr s;C;SPORT
7;Melyik kir lyunk fulladt a moh csi csata idej‚n a Csele-patakba?;II. Lajos;I. Lajos;II. Ul szl¢;I. Ul szl¢;A;T™RTNELEM
8;"Mi a c¡me a George Clooney f‹szerepl‚s‚vel k‚szlt filmnek: ""Sivatagi ...""";r¢k k;c p k;tev‚k;vihar;B;FILM
1;"Fejezze be a sz¢l st: ""A kecske is j¢llakik, ...""";mert megnyalta a s¢t;a gida is g”mb”ly”dik;a k poszta is megmarad;a karal b‚ is elfogy;C;NYELV
2;Mivel v lt h¡ress‚ a brit komikus, Rowan Atkinson?;Mr. Pea;Mr. Carrot;Mr. Tomato;Mr. Bean;D;µLTALµNOS
3;A ruha melyik r‚sz‚t h¡vt k pityk‚nek?;a felhajt s t;a zseb‚t;a gombj t;a gall‚rj t;C;µLTALµNOS
4;Mi Bajororsz g f‹v rosa?;Mnchen;Dsseldorf;Hamburg;Nrnberg;A;ORSZµGOK
5;Milyen baromfi a kappan?;h¡m liba;n‹st‚ny kacsa;her‚lt kakas;keveset toj¢ ty£k;C;BIOLàGIA
6;Mib‹l k‚szlt a papirusz, amire az ¢kori Egyiptomban a feljegyz‚seket felk‚sz¡tett‚k?;diszn¢b‹rb‹l;‚getett agyagb¢l;v¡zin”v‚nyb‹l;kaucsukb¢l;C;TECHNIKA
7;Melyik v rosban tekinthet‹ meg az Atomium?;P rizs;Brsszel;Amszterdam;Bern;B;ORSZµGOK
8;Melyik nincs egy d¡zelmotoros g‚pj rmûben?;karbur tor;dugatty£;differenci lmû;gener tor;A;TECHNIKA
9;Melyik magyar h¡ress‚g szletett Sz‹demeteren?;Ady Endre;K”lcsey Ferenc;Arany J nos;G rdonyi G‚za;B;IRODALOM
10;Melyik szervnk vizsg lat ‚rt kapott orvosi Nobel-d¡jat B‚k‚sy Gy”rgy?;az agy;a szem;a fl;a sz¡v;C;BIOLàGIA
1;"Eg‚sz¡tse ki a mond st! ""Akinek nem inge, ...""";annak bugyog¢ja;ne vegye mag ra;ne varrjon r  gombot;ne hordja el m s‚t;B;NYELV
2;Mi a Nagy Medve csillagk‚p egy r‚sz‚nek n‚pies elnevez‚se?;Tej£t;Esthajnalcsillag;G”nc”lszek‚r;Medvebocs;C;NYELV
3;Hogyan nevezt‚k az ¢kori g”r”g”k ”nmagukat?;etruszkok;hell‚nek;fr¡gek;kelt k;B;T™RTNELEM
4;Az al bbiak k”zl melyik nem amerikai aut¢m rka?;Ford;Cadillac;Buick;Renault;D;TECHNIKA
5;Mit gy rtottak a bogn rok?;patk¢kat;kerekeket;cip¢t;p link t;B;µLTALµNOS
6;H ny nappal k”veti a pnk”sd a h£sv‚tot?;50;35;40;mindig v ltoz¢;A;µLTALµNOS
1;Mi‚rt k‚ne Debrecenbe menni a gyermekdal szerint?;megn‚zni a vir gfesztiv lt;s‚t lni a Nagyerd‹ben;megn‚zni a Nagytemplomot;pulykakakast venni;D;IRODALOM
2;Mit neveznek papramorg¢nak?;a p link t;a hamis kuty t;a d”d”ll‚t;a lusta k ntort;A;NYELV
3;Milyen anyagot tartalmaznak a hagyom nyos moly¡rt¢k?;naftalint;nikotint;koffeint;halog‚nt;A;TUDOMµNY
4;Mi az okt ns?;iskolai feny¡t‹ eszk”z;rossz min‹s‚gû benzin;afrikai vadtulok;csillag szati sz”gm‚r‹ mûszer;D;NYELV
5;Milyen sz¡nû orsz gos turistajelz‚s halad v‚gig haz nk hegys‚gein?;k‚k;s rga;piros;z”ld;A;µLTALµNOS
6;Melyik v ros Kom rom-Esztergom megye sz‚khelye?;Kom rom;Tatab nya;Esztergom;Tata;B;F™LDRAJZ
7;Milyen betegs‚get terjeszt a cecel‚gy?;s rgal zt;influenz t; lomk¢rt;mal ri t;C;BIOLàGIA
1;"Folytassa a mond st! ""Ki mint veti  gy t, ...""";£gy arat;£gy alussza  lm t;addig ny£jt¢zkodik;olyan a fogadjisten;B;NYELV
2;Hogyan nevezzk a b‚k k l rva llapot t?;alga;ebihal;pondr¢;csibor;B;BIOLàGIA
3;Mely orsz got ir ny¡totta az Evita c¡mû musicalb‹l is ismert Per¢n h zasp r?;Argent¡na;Chile;Peru;Braz¡lia;A;T™RTNELEM
4;Hol l‚pett el‹sz‹r ember a Holdra?;az Unalom Tenger‚n;a Portengeren;a Nyugalom Tenger‚n;a Zabhegyen;C;TUDOMµNY
5;Hov  ‚p¡tenek egy manz rdszob t?;az alagsorba;a f”ldszintre;a f‚lemeletre;a tet‹t‚rbe;D;µLTALµNOS
6;"Kit neveznek ""az any k megment‹j‚nek""?";Kor nyi S ndort;H‹gyes Endr‚t;Heim P lt;Semmelweis Ign cot;D;BIOLàGIA
7;Milyen foglalkoz st ûz”tt Csontv ry negyven ‚ves kor ig?;tan r;gy¢gyszer‚sz;gazd lkod¢;seb‚sz;B;KPZŠMëVSZET
8;Honnan indult el v‚gzetes £tj ra a Titanic?;New York;Liverpool;Southampton;Brighton;C;µLTALµNOS
1;"Mit haszn lt az els‹ emberp r ""ruha"" gyan nt a Paradicsomban?";almah‚jat;fgefalevelet;k¡gy¢b‹rt;kacag nyt;B;VALLµS
2;Melyik kutyafajt t haszn lj k vad szatokon?;a pumit;a vizsl t;a komondort;a bobtailt;B;µLTALµNOS
3;Melyik olasz v ros fekszik a Vez£v l b n l?;Bologna;N poly;Palermo;Ravenna;B;F™LDRAJZ
4;Hogy h¡vt k a r di¢ el‹dj‚nek sz m¡t¢ telefonos szolg ltat st?;teleh¡rn”k;telefonh¡rmond¢;r di¢telefon;telefonh¡rad¢;B;TUDOMµNY
5;Mi a neve a Georges Simenon reg‚nyeib‹l ismert felgyel‹nek?;Poirot;Columbo;Maigret;Derrick;C;IRODALOM
6;Kije volt Zr¡nyi Mikl¢s a Szigeti veszedelem ¡r¢ja Szigetv r v‚d‹j‚nek?;unok ja;d‚dunok ja;fia;apr¢dja;B;IRODALOM
7;Hogy nevezik az izraeli egykamar s t”rv‚nyhoz st?;Kneszet;Likud;Hagana;MOSZAD;A;µLTALµNOS
8;Melyik sz¢ ¡r sm¢dja helytelen?;csevely;kev‚ly;mosoly;tavaly;A;NYELV
9;Melyik n‚pcsoportban voltak a l¢f‹k?;a rut‚nekn‚l;a kunokn l;a sz‚kelyekn‚l;a sok cokn l;C;T™RTNELEM
10;Mi az  llamform ja a Vatik nnak?;alkotm nyos monarchia;p pas g;teokratikus kir lys g;k”zt rsas g;C;ORSZµGOK
1;Melyik  llat lett a c¡mad¢ja ifj. Johann Strauss egyik operettj‚nek?;a pulyka;a csiga;a f¢ka;a denev‚r;D;OPERA
2;Hogy nevezt‚k a sz¡nh zi el‹ad s szneteiben el‹adott jelenetet?;jutalomj t‚k;k”zj t‚k;macskaj t‚k;vend‚gj t‚k;B;SZÖNHµZ
3;Ki volt Cs k M t‚?;a cs k¢ feltal l¢ja;kir lyi cs k nymester;szalmatulajdonos;kiskir ly;D;T™RTNELEM
4;Melyik orsz ghoz tartozik ma Trieszt?;Jugoszl via;Olaszorsz g;Horv torsz g;Bosznia-Hercegovina;B;ORSZµGOK
5;Ki az, akit az egri remetek‚nt szok s emlegetni?;Szent Gell‚rt;G rdonyi G‚za;Dob¢ Istv n;Berzsenyi D niel;B;µLTALµNOS
6;Mit neveztek az ¢kori g”r”g v ros llamokban agor nak?;a templomot;a piacteret;a f‹kaput;a k”zkutat;B;T™RTNELEM
7;Milyen hal kerl a jap nok n‚pszerû ‚tel‚be, a sushiba?;p colt;nyers;slt;fst”lt;B;KONYHA
8;Milyen eredetû t nc a hula?;lengyel;spanyol;hawaii;g”r”g;C;µLTALµNOS
9;Melyik opera szerepl‹i Donna Anna, Donna Elvira ‚s Don Ottavio?;Don Carlos;Don Giovanni;Don Pasquale;Don Quijote;B;OPERA
1;Mi az elektromos feszlts‚g m‚rt‚kegys‚ge?;van;nincs;volt;lesz;C;TUDOMµNY
2;"Milyen "" gy£"" a katonai mozg¢konyha?";p”rk”lt;guly s;tok ny;hurka;B;NYELV
3;Melyik k v‚h zb¢l indult az 1848-as pesti forradalom?;Bat via;New York;Pilvax;µrk dia;C;T™RTNELEM
4;Melyik sz¢kapcsolat nem hib s nyelvhelyess‚gi szempontb¢l?;”nmûk”d‹ automata;harmonikus kapcsolat;besti lis fenevad;h‚tv‚gi v¡kendh z;B;NYELV
5;Melyik k‚t foly¢ ment‚n alakult ki a mezopot miai kult£ra?;Tigris ‚s Eufr tesz;Indus ‚s Gangesz;Jangce ‚s Hoang-ho;N¡lus ‚s Kagera;A;T™RTNELEM
6;Melyik v rosunkban  ll a Szigligeti Ed‚r‹l elnevezett sz¡nh z?;Kaposv r;Veszpr‚m;Szolnok;Gyula;C;SZÖNHµZ
7;"Melyik foly¢n pihen az a versb‚li komp, amelyben ""hallgat a s”t‚ts‚g""?";Tisza;Szamos;Duna;Maros;B;IRODALOM
8;Melyik orsz g terlet‚n talalhat¢ a Labrador-f‚lsziget?;USA;Argent¡na;Kanada;Mexik¢;C;F™LDRAJZ
9;Mit jelent a Vosztok ûrhaj¢ neve?;d‚l;v”r”s;csillag;kelet;D;NYELV
10;Kinek a vallom sai szerepelnek M rai S ndor reg‚ny‚nek c¡m‚ben?;egy bûn”s;egy polg r;egy vil gcsavarg¢;egy sz mûz”tt;B;IRODALOM
11;Ki j tszotta a n‹i f‹szerepet a Volt egyszer egy vadnyugat c¡mû westernfilmben?;Raquel Welch;Claudia Cardinale;Monica Vitti;Brigitte Bardot;B;FILM
1;Hol van a mond s szerint az, akire haragszom?;a markomban;a cs‹r”mben;a begyemben;a zsebemben;C;NYELV
2;Hogyan alszanak a denev‚rek?;repl‚s k”zben;fejjel lefel‚; llva;m s f‚szk‚be b£jva;B;BIOLàGIA
3;Mib‹l k‚szl a ringli?;szardell b¢l;r kb¢l;osztrig b¢l;polipb¢l;A;KONYHA
4;Mikor lesz egy f‚nyk‚p alulexpon lt?;ha sok a f‚ny;ha kev‚s a f‚ny;ha nagy a t vols g;ha alacsony a f‚nyk‚p‚sz;B;TUDOMµNY
5;"Melyik filmben szerepel a ""Villa Negra""?";A tizedes meg a t”bbiek;Eg‚szs‚ges erotika;Hatty£dal;Pacsirta;C;FILM
1;Mit dug a h ziorvos vizsg latkor a fl‚be?;fonendoszk¢pot;horoszk¢pot;kaleidoszk¢pot;teleszk¢pot;A;BIOLàGIA
2;H ny ¢r b¢l  ll egy h‚t?;168;170;144;150;A;µLTALµNOS
3;Milyen fegyverrel gy‹zte le D vid G¢li tot?;bumer nggal;paritty val;d rd val;szekerc‚vel;B;VALLµS
4;Mire haszn lt k a portug lok a karavell t?;lik‹rk‚sz¡t‚sre;haj¢z sra;‚kszerk‚sz¡t‚sre;‚p¡tkez‚sre;B;T™RTNELEM
5;Kit tal lnak holtan a radv nyi s”t‚t erd‹ben Arany ballad j ban?;Kund Abig‚lt;B rczi Ben‹t;Szondi k‚t apr¢dj t;Z ch Kl r t;B;IRODALOM
6;Hogyan nevezik az ¢kori karth g¢iakat m sk‚ppen?;tr kok;ill¡rek;sum‚rok;punok;D;T™RTNELEM
7;Melyik v rost tartj k a dzsessz szl‹haz j nak?;New Orleans;Memphis;Boston;Charleston;A;ZENE
8;Az al bbi sz¡n‚szn‹k k”zl kir‹l neveztek el Budapesten sz¡nh zat?;Ruttkai va;Gobbi Hilda;Dajka Margit;Domj n Edit;A;SZÖNHµZ
9;Hol tal lhat¢ a Nemzetk”zi Valutaalap (IMF) sz‚khelye?;Brsszel;Genf ;P rizs ;Washington;D;ORSZµGOK
1;Mit csin l az, aki nagyszab s£ eszk”z”ket haszn l fel kisszerû c‚lra?;Mamuttal megy egeret fogni.;µgy£val l‹ ver‚bre.;Sodronnyal stoppolja a zoknit.;Gy”nggyel eteti a diszn¢t.;B;NYELV
2;Mi N¢ra foglalkoz sa a Bar tok k”zt c¡mû sorozatban?;gyv‚d;‚p¡t‚svezet‹;pultos;fogorvos;A;µLTALµNOS
3;Kit vagy mit neveznek polit£rnak?;sz zad eleji politikust;b£torf‚nyez‹ anyagot;diplom ciai utaz st;a pol¢nium elektronjait;B;NYELV
4;Milyen tal lm nyt k”sz”nhet Eur¢pa Gutenberg J nosnak?;a villany‚g‹t;a ker‚kp rt;a k”nyvnyomtat st;a g‹zg‚pet;C;TECHNIKA
5;Milyen n‹i ruhadarab volt a m¡der?;er‚ny”v;selyembugyi;fûz‹;t‚rdharisnya;C;µLTALµNOS
6;Milyen c¡met viselt a P kozdn l legy‹z”tt Jellasics?;porosz gener lis;erd‚lyi fejedelem;horv t b n;cs sz ri hadgyminiszter;C;T™RTNELEM
7;Mi a neve a h¢h‚rnak A n‚ma levente c¡mû Heltai-sz¡nmûben?;Set‚t Lajos;™reg Bak¢;V‚res Mester;Rettenthetetlen;A;IRODALOM
8;Hol tal lhat¢ a Yellowstone Nemzeti Park?;az Andokban;a Szikl s-hegys‚gben;az Atlasz-hegys‚gben;a Pireneusokban;B;F™LDRAJZ
9;Ki nem nyert olimpiai bajnoks got £sz sban?;Gyarmati Andrea;Egerszegi Krisztina;Sz‹ke Kat¢;Temes Judit;A;SPORT
1;Miv‚ nem v lik a v‚r a mond s szerint?;v¡zz‚;borr ;fr”ccs‚;aludttejj‚;A;NYELV
2;Melyik v ros nevezetess‚ge a Colosseum?;R¢ma;P rizs;B‚cs;Firenze;A;ORSZµGOK
3;Mire haszn lt k a k‚zzel kics‚pelt, csom¢ba k”t”tt rozsszalm t, a zs£pot?;fgg‹ gynak;v¡zi j rmûnek;tet‹fed‚sre;p rnat”m‚sre;C;µLTALµNOS
4;Mir‹l nevezetes a spanyolorsz gi Altamira-barlang?;cseppk”veir‹l;foly¢rendszer‚r‹l;medv‚ir‹l;falrajzair¢l;D;NYELV
5;Az al bbiak k”zl kit vagy mit neveznek bajad‚rnak?;‹szl‹ bajuszt;t‚li csapad‚kot;indiai t ncosn‹t;bajai menyecsk‚t;C;NYELV
6;Melyik olimpi n nem szerzett arany‚rmet ”k”lv¡v sban Papp L szl¢?;1960-ban R¢m ban;1952-ben Helsinkiben;1956-ban Melbourne-ben;1948-ban Londonban;A;SPORT
7;Milyen Nobel-d¡jat kapott Graham Bell, a telefon feltal l¢ja?;k‚miait;nem kapott;fizikait;fiziol¢giait;B;TUDOMµNY
8;Milyen n‚ven ny¡lt meg 1837-ben Pest els‹ magyar sz¡nh za?;Nemzeti Sz¡nh z;Pesti V¡g Sz¡nh z;Pesti Magyar Sz¡nh z;Pesti Th lia Sz¡nh z;C;SZÖNHµZ
9;Federico Fellini melyik filmj‚t nem d¡jazt k a legjobb klf”ldi filmnek j r¢ Oscar-d¡jjal?;Amarcord;Orsz g£ton;Az ‚des ‚let;8 ‚s f‚l;C;FILM
1;"Ki a f‹h‹se a ""La Mancha lovagja"" c¡mû musicalnek?";Robin Hood;J nos vit‚z;Don Quijote;Zorro;C;ZENE
2;Az al bbiak k”zl melyik h£sb¢l k‚szl az éjh zy Ed‚r‹l elnevezett leves?;ty£k;marha;sert‚s;birka;A;KONYHA
3;Milyen idom¡tott harci  llatok k”t‹dnek Hannib l, pun hadvez‚r nev‚hez?;tigrisek;farkasok;k¡gy¢k;elef ntok;D;T™RTNELEM
4;Melyik sport gban szok s h ttal c‚lba ‚rni?;kenuz sban;kajakoz sban;d¡jlovagl sban;evez‚sben;D;SPORT
5;Mit tesz a c¡m szerint Piszkos Fred Flig Jimmy ‹szinte sajn lat ra?;pofozkodik;visszat‚r;k”zbel‚p;olajra l‚p;C;IRODALOM
6;Mely tev‚kenys‚g sor n haszn lt k a m ngorl¢t?;mos s;arat s;‚tkez‚s;sz nt s;A;µLTALµNOS
7;Hol tal lhatunk szil kat?;gym”lcs”sben;cetek sz j ban;hegyvid‚ken;tk”rboltban;B;NYELV
8;Melyik it liai v ros urai voltak a Mediciek?;R¢ma;Firenze;N poly;Pescara;B;T™RTNELEM
9;Milyen n‚ven lett sikeres dr ma¡r¢ Szathm ry J¢zsef?;Garay J nos;Csiky Gergely;Kisfaludy K roly;Szigligeti Ede;D;IRODALOM
10;Melyik orsz g egyetlen szomsz‚dja a D‚l-afrikai K”zt rsas g?;Malawi;Lesotho;Szv zif”ld;Botswana;B;ORSZµGOK
11;Ki volt az Egyeslt µllamok eln”ke a vietnami h bor£t lez r¢ fegyverszneti egyezm‚ny al ¡r sakor?;Ford;Nixon;Johnson;Carter;B;T™RTNELEM
1;Kir‹l sz¢lt a Sz”r‚nyi-Br¢dy szerz‹p ros els‹ nagy sikerû rock-oper ja?;Pat¢ P lr¢l;Ferenc J¢zsefr‹l;Istv n kir lyr¢l;H ry J nosr¢l;C;ZENE
2;"""Fabatk t sem ‚r.""- mondjuk az ‚rt‚ktelen dologra. Mit neveztek r‚gen batk nak?";gabonamagot;inggombot;apr¢p‚nzt;par nyi ‚l‹sk”d‹t;C;NYELV
3;Kiket neveztek r‚gen talj noknak?;a franci kat;a tat rokat;az oroszokat;az olaszokat;D;NYELV
4;Mit csin lnak egym s vez‚r‚vel a sakkj t‚kosok, amikor vez‚rcsere t”rt‚nik?;kir lyra cser‚lik;k”lcs”n”sen kitik;sz¡nt cser‚lnek;fut¢ra cser‚lik;B;JµTK
5;Melyik vitamin hi nya okoz skorbutot?;C vitamin;D vitamin;A vitamin;E vitamin;A;BIOLàGIA
6;Mit jelent ez a kifejez‚s: casus belli?;jelenlegi helyzet;enyh¡t‹ k”rlm‚ny;h bor£s ok;sz‚passzony;C;NYELV
7;Kik kaphatj k a Goncourt-d¡jat?;sportol¢k;¡r¢k;misszion riusok;zeneszerz‹k;B;µLTALµNOS
8;Melyik magyar v rosban harangoznak 11 ¢rakor is?;Szombathelyen;Gy‹rben;Sopronban;K‹szegen;D;MAGYARORSZµG
9;Ki alkotta meg az elektrol¡zis t”rv‚nyeit?;James Joule;Louis Gay-Lussac;Humphry Davy;Michael Faraday;D;TUDOMµNY
10;Melyik az egyetlen magyarorsz gi alap¡t s£ szerzetesrend?;ciszterciek;domonkosok;benc‚sek;p losok;D;VALLµS
11;Ki nem volt az 1848.  prilis ban beiktatott Batthy ny-korm ny tagja?;M‚sz ros L z r;Klauz l G bor;F y Andr s;Esterh zy P l;C;T™RTNELEM
12;Mit jelent magyarul Costa Rica neve?;j¢ szerencse;gazdag tengerpart;vastag f”ld;b‹v¡zû foly¢;B;NYELV
13;Sergio Leone melyik westernfilmj‚ben nem Clint Eastwood j tssza a f‹szerepet?;Egy mar‚knyi doll r‚rt;Egy mar‚k dinamit;A j¢, a rossz ‚s a cs£f;N‚h ny doll rral t”bb‚rt;B;FILM
1;Mi‚rt megy a kisnyulacska az erd‹be a gyerekdal szerint?;r‚p csk ‚rt;vessz‹csk‚‚rt;r¢k csk ‚rt;fvecsk‚‚rt;B;IRODALOM
2;"Mi a c¡me Bruce Willis nagy sikerû akci¢filmj‚nek: ""Dr g n ...!""";vedd a fegyvered;s£gd a titkokat;v lallj szerepet;add az ‚leted;D;FILM
3;H ny pont van egy dob¢kock n?;18;23;20;21;D;JµTK
4;Hol van a NATO k”zpontja?;New York;Genf ;Brsszel;Strasbourg;C;µLTALµNOS
5;Melyik  llatfajnak nem lehet el‹tagja az ang¢ra?;kecske;macska;ny£l;nyest;D;BIOLàGIA
6;Melyik h¡res csillag sz alakj t ”lti mag ra µd m Az ember trag‚di j ban?;Kopernikusz;Kepler;Giordano Bruno;Galileo Galilei;B;IRODALOM
7;"Kinek a jelmondata volt: ""J¢ szerencse, semmi m s.""";Th”k”ly Imre;Hunyadi J nos;II. R¢k¢czi Ferenc;Zr¡nyi Mikl¢s;D;T™RTNELEM
1;"Eg‚sz¡tse ki a k”zmond st! ""..., b£suljon a l¢!""";elfogyott a zab;n‚gy l ba van;nagy a feje;megh¡zott a husz r;C;NYELV
2;Hol dolgozik a krupi‚?;sz¡nh zban;j‚t‚kkaszin¢ban;m£zeumban;l¢versenyp ly n;B;µLTALµNOS
3;Melyik operettet j tssz k hagyom nyosan szilveszterkor?;Egy ‚j Velenc‚ben;A v¡g ”zvegy;A denev‚r;Cs rd skir lyn‹;C;OPERA
4;Melyik f”ldr‚szen nem rendeztek m‚g olimpiai j t‚kokat?;szak-Amerik ban;Ausztr li ban;µzsi ban;Afrik ban;D;SPORT
5;Hol ‚lnek a r‚nszarvasok?;az es‹erd‹kben;a szavann kon;az szaki sarkk”r t j n;a D‚li sarkk”r t j n;C;BIOLàGIA
